Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
"Standard of care, Stem cells",NCT04494386,NCT04494386,Confirmed,Hospital,"Pneumonia or ARDS, Treatment-emergent Adverse Events, Serious Adverse Events, Platelet Count, ALT, Glucose, Blood Urea Nitrogen, PaO2-FiO2, SpO2",60
"Standard of care, Stem cells",NCT04494386,NCT04494386,Confirmed,Hospital,"Pneumonia or ARDS, Treatment-emergent Adverse Events, Serious Adverse Events, Platelet Count, ALT, Glucose, Blood Urea Nitrogen, PaO2-FiO2, SpO2",60
"NRTIs, Standard of care",NCT04685512,NCT04685512,Confirmed,Outpatient,"Hospitalization, Viral Load or Clearance, Treatment-emergent Adverse Events",180
"NRTIs, Standard of care",NCT04685512,NCT04685512,Confirmed,Outpatient,"Hospitalization, Viral Load or Clearance, Treatment-emergent Adverse Events",180
"Other, Standard of care",NCT04614025,NCT04614025,Confirmed,Hospital,NA,40
"Other, Standard of care",NCT04614025,NCT04614025,Confirmed,Hospital,NA,40
"mAb, Standard of care",NCT04452318,NCT04452318,Healthy Or Suspected,Outpatient,Treatment-emergent Adverse Events,2450
"mAb, Standard of care",NCT04452318,NCT04452318,Healthy Or Suspected,Outpatient,Treatment-emergent Adverse Events,2450
"mAb, Standard of care",NCT04452318,NCT04452318,Healthy Or Suspected,Outpatient,Treatment-emergent Adverse Events,2450
"Standard of care, Vaccine",NCT04526990,NCT04526990,Healthy,Healthy Exposed,NA,40000
"Standard of care, Vaccine",NCT04526990,NCT04526990,Healthy,Healthy Exposed,NA,40000
"Standard of care, Vaccine",NCT04526990,NCT04526990,Healthy,Healthy Exposed,NA,40000
"Standard of care, Vaccine",NCT04526990,NCT04526990,Healthy,Healthy Exposed,NA,40000
"Standard of care, Vaccine",NCT04526990,NCT04526990,Healthy,Healthy Exposed,NA,40000
"mAb, Standard of care",NCT04369469,NCT04369469,Confirmed,Hospital,Mortality,270
"mAb, Standard of care",NCT04369469,NCT04369469,Confirmed,Hospital,Mortality,270
"mAb, Standard of care",NCT04369469,NCT04369469,Confirmed,Hospital,Mortality,270
"mAb, Standard of care",NCT04369469,NCT04369469,Confirmed,Hospital,Mortality,270
"mAb, Standard of care",NCT04369469,NCT04369469,Confirmed,Hospital,Mortality,270
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
"mAb, Standard of care",NCT04362813,NCT04362813,Confirmed,Hospital,NA,451
Anticoagulants,NCT04512079,NCT04512079,Confirmed,Hospital,NA,3600
Anticoagulants,NCT04512079,NCT04512079,Confirmed,Hospital,NA,3600
Anticoagulants,NCT04512079,NCT04512079,Confirmed,Hospital,NA,3600
Anticoagulants,NCT04512079,NCT04512079,Confirmed,Hospital,NA,3600
Anticoagulants,NCT04512079,NCT04512079,Confirmed,Hospital,NA,3600
"Other, Placebo",NCT04540120,NCT04540120,Confirmed,Outpatient,NA,80
"Other, Placebo",NCT04540120,NCT04540120,Confirmed,Outpatient,NA,80
"Other, Placebo",NCT04540120,NCT04540120,Confirmed,Outpatient,NA,80
Vaccine,NCT04646590,NCT04646590,Healthy,Healthy Unexposed,NA,29000
Vaccine,NCT04646590,NCT04646590,Healthy,Healthy Unexposed,NA,29000
Vaccine,NCT04646590,NCT04646590,Healthy,Healthy Unexposed,NA,29000
Vaccine,NCT04646590,NCT04646590,Healthy,Healthy Unexposed,NA,29000
Vaccine,NCT04646590,NCT04646590,Healthy,Healthy Unexposed,NA,29000
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
