nct_id,DRUGNAME,DRUGTYPE,DISEASES,DRUGSTAT,TARGNAME
NCT04730323,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04583592,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04583592,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04583592,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04345601,mesenchymal stromal cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04715763,telmisartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1)    AGTR1_HUMAN
NCT04681430,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04681430,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04681430,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04623021,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04623021,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
