nct_id,id,name,created_at,updated_at,grouping,study_search_id
NCT04364698,166580,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04482621,166581,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04459637,166582,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04547257,166584,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04454307,166585,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04333550,166587,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04432987,166588,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04537559,166589,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04628143,166590,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04336904,166591,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04568031,166592,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04445272,166593,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04354831,166594,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04582266,166595,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04351802,166596,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04345445,166599,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04508712,166601,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04361422,166602,covid-19,2/7/2021 10:33:01 PM,2/7/2021 10:33:01 PM,covid-19,1
NCT04460547,166603,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04355741,166604,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04388683,166605,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04625972,166606,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04377763,166607,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04578158,166608,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04421534,166609,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04501796,166610,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04428801,166611,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04331509,166612,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04431908,166613,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04466644,166614,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04343183,166615,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04347915,166616,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04625725,166617,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04333407,166618,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04470622,166619,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04452669,166620,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04406389,166621,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04610554,166622,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04291053,166623,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04342637,166624,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04412486,166625,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04336462,166626,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04552366,166627,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04534673,166628,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04393038,166629,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04404179,166630,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
NCT04490174,166631,covid-19,2/7/2021 10:33:02 PM,2/7/2021 10:33:02 PM,covid-19,1
