nct_id,id,downcase_name
NCT04604704,13049047,long covid-19
NCT04661657,13048706,covid-19
NCT04604704,13049048,post-covid-19 syndrome
NCT04268537,12480711,covid-19
NCT04731051,13048067,covid-19
NCT04320238,12471698,covid-19
NCT04264858,12481414,covid-19
NCT04691609,12416064,acs-covid-19-assiut
NCT04337983,12468679,acute circulatory failure
NCT04395807,12459193,acute hypoxemic respiratory failure
NCT04609462,13174052,acute hypoxemic respiratory failure
NCT04402957,12458067,acute kidney injury
NCT04445259,12451909,acute kidney injury
NCT04375748,12462417,acute myocarditis
NCT04397588,12458917,acute refractory heart failure related to sars-cov 2
NCT04588441,12431007,acute respiratory distress
NCT04328467,12470377,acute respiratory distress syndrome
NCT04345601,13030762,acute respiratory distress syndrome
NCT04350710,12466622,acute respiratory distress syndrome
NCT04359251,12465241,acute respiratory distress syndrome
NCT04359862,12465136,acute respiratory distress syndrome
NCT04369469,13059521,acute respiratory distress syndrome
NCT04370249,12463365,acute respiratory distress syndrome
NCT04378920,13164097,acute respiratory distress syndrome
NCT04383730,13138717,acute respiratory distress syndrome
NCT04385004,12460888,acute respiratory distress syndrome
NCT04402840,12458083,acute respiratory distress syndrome
NCT04402879,12458076,acute respiratory distress syndrome
NCT04601090,12429154,acute respiratory distress syndrome
NCT04586114,12431351,acute respiratory distress syndrome secondary to covid-19
NCT04391140,12459861,acute respiratory failure
NCT04393155,13138695,acute respiratory failure
NCT04601090,12429153,acute respiratory failure
NCT04668196,12419376,acute respiratory failure
NCT04615741,12427052,addiction
NCT04278404,12478955,adrenal insufficiency
NCT04378881,12461907,adverse drug event
NCT04710394,12413210,ageusia
NCT04551339,12436298,aging
NCT04603781,12428771,alcohol abuse
NCT04474444,12447627,"alcohol use, unspecified"
NCT04357041,12465567,"all, adult"
NCT04710394,12413208,anosmia
NCT04352634,12466303,anxiety
NCT04369378,12463506,anxiety
NCT04384887,12460908,anxiety
NCT04440098,12452670,anxiety
NCT04460469,12449679,anxiety
NCT04609722,12427929,anxiety
NCT04715477,12412512,anxiety
NCT04498442,13049695,anxiety depression
NCT04686578,13058118,anxiety depression
NCT03963622,12524154,ards
NCT04327180,12470591,ards
NCT04347928,12467095,ards
NCT04405973,12457631,ards
NCT04410263,12457015,ards
NCT04493242,12444912,ards
NCT04499313,12444009,ards
NCT04692779,13173759,ards
NCT04728698,13048137,ards
NCT04641182,12423276,ards
NCT04397588,12458916,ards related to severe acute respiratory syndrome-coronavirus (sars-cov) 2
NCT04347941,12467090,"ards, human"
NCT04359290,12465235,"ards, human"
NCT04375735,12462421,"ards, human"
NCT04384731,13059461,"ards, human"
NCT04692129,13048452,"ards, human"
NCT04278404,12478952,arrythmia
NCT04278404,12478953,asthma in children
NCT03944447,12526695,autism
NCT04353609,12466111,autoimmune diseases
NCT04397237,12458981,axial spondyloarthritis
NCT04148430,12498211,b cell all
NCT04148430,12498212,b-cell lymphoma
NCT04148430,12498213,b-cell non hodgkin lymphoma
NCT04461379,12449478,bcg
NCT04384614,12460948,bcg vaccination
NCT04648800,12422205,bcg vaccination reaction
NCT04343664,13115057,behavior problem
NCT04588415,12431009,bereavement
NCT04400682,12458414,bioequivalence
NCT03944447,12526697,bipolar disorder
NCT04356950,12465582,blood coagulation disorders
NCT04169542,12495291,breast ductal carcinoma in situ
NCT04416373,12456211,breastfeeding
NCT04278404,12478954,bronchopulmonary dysplasia
NCT04393077,12459602,"burnout, caregiver"
NCT04632368,12424599,"burnout, professional"
NCT04698798,13173742,cachexia
NCT03452774,12593920,cancer
NCT04354818,12465908,cancer
NCT04366154,12464080,cancer
NCT04384926,12460900,cancer
NCT04389996,12460050,cancer
NCT04397575,12458918,cancer
NCT04425616,12454845,cancer
NCT04492410,13163706,cancer
NCT04715438,13029897,cancer
NCT03452774,12593921,cancer of pancreas
NCT03452774,12593919,"cancer, metastatic"
NCT04363788,12464475,cardiac arrest
NCT04366297,12464057,cardiac arrest
NCT04435457,13066331,cardiac complication
NCT04492384,12445039,cardiac event
NCT04366167,12464077,cardiac surgery
NCT04324684,12470969,cardiovascular diseases
NCT04359875,12465134,cardiovascular diseases
NCT04369690,12463462,cardiovascular diseases
NCT04615949,12427026,cardiovascular diseases
NCT04684602,12417032,cardiovascular disorders
NCT04555187,12435774,cardiovascular risk factor
NCT04615949,12427027,cardiovascular risk factor
NCT04686565,13058122,caregiver quality of life
NCT04686565,13058119,cerebral palsy
NCT04654481,12421414,chronic cough
NCT04369690,12463460,chronic disease
NCT04353609,12466110,chronic inflammatory rheumatism
NCT04730934,13048073,chronic low-back pain
NCT03944447,12526670,chronic pain
NCT04381000,12461547,chronic pain
NCT04715815,13029895,chronic pain
NCT04361552,12464844,chronic renal failure
NCT04519437,12440897,chronic stable illness
NCT03944447,12526691,chronic traumatic encephalopathy
NCT04492384,12445038,ckd
NCT04724681,12411203,clinical deterioration
NCT04508439,12442568,coagulation disorder
NCT04507230,12442724,coagulopathy
NCT04593069,12430393,cognitive impairment
NCT04373109,12462876,cohort studies
NCT04588909,12430951,colo-rectal cancer
NCT04348864,13164162,communicable disease
NCT04352699,12466294,complication of surgical procedure
NCT04374656,12462617,conjunctivitis
NCT04397523,12458931,convalescent plasma
NCT03944447,12526701,covid-19
NCT04324047,12471062,covid-19
NCT04324073,12471060,covid-19
NCT04327206,13071510,covid-19
NCT04339712,12468400,covid-19
NCT04341584,13050423,covid-19
NCT04342728,13164183,covid-19
NCT04369989,12463394,covid-19
NCT04378582,12461954,covid-19
NCT04382846,12461235,covid-19
NCT04395716,12459208,covid-19
NCT04397172,12458993,covid-19
NCT04400006,12458521,covid-19
NCT04565782,12434256,covid-19
NCT04598620,12429516,covid-19
NCT04615936,12427029,covid-19
NCT04621461,13137823,covid-19
NCT04627233,12425325,covid-19
NCT04632381,12424598,covid-19
NCT04668196,12419377,covid-19
NCT04681430,13048520,covid-19
NCT04709003,12413418,covid-19
NCT04325867,12470789,coronary artery disease
NCT04359836,12465145,covid-19
NCT04252274,12483472,covid-19
NCT04303507,12474533,covid-19
NCT04305574,12474228,covid-19
NCT04324463,12471000,covid-19
NCT04327180,12470590,covid-19
NCT04337489,12468795,covid-19
NCT04337502,12468793,covid-19
NCT04340050,12468336,covid-19
NCT04348864,13164166,covid-19
NCT04362176,12464749,covid-19
NCT04362995,13050363,covid-19
NCT04369989,12463392,covid-19
NCT04384926,12460899,covid-19
NCT04393961,12459454,covid-19
NCT04448418,12451455,covid-19
NCT04485364,12446060,covid-19
NCT04530448,12439357,covid-19
NCT04581954,12431961,covid-19
NCT04604769,12428603,covid-19
NCT04605926,12428443,covid-19
NCT04610567,12427815,covid-19
NCT04690413,12416258,covid-19
NCT04718220,12412068,covid-19
NCT04369989,12463397,covid-19
NCT04369989,12463400,covid-19
NCT04302766,12474672,covid-19
NCT04343651,12467788,covid-19
NCT04579393,13138059,covid-19
NCT04724850,13048209,covid-19
NCT04391309,13138703,covid-19
NCT04473170,12447837,covid-19
NCT04644120,13113053,covid-19
NCT04649515,12422111,covid-19
NCT04375397,12462488,covid-19
NCT04324866,12470938,covid-19
NCT04325048,12470914,covid-19
NCT04339998,12468345,covid-19
NCT04347382,12467183,covid-19
NCT04353128,12466207,covid-19
NCT04354779,12465917,covid-19
NCT04359849,12465138,covid-19
NCT04369989,12463393,covid-19
NCT04373733,13164108,covid-19
NCT04373798,12462772,covid-19
NCT04382768,12461244,covid-19
NCT04393142,13174743,covid-19
NCT04406545,12457549,covid-19
NCT04410510,12456973,covid-19
NCT04453852,12450624,covid-19
NCT04514705,12441588,covid-19
NCT04665960,13163132,covid-19
NCT04673292,13173829,covid-19
NCT04307459,12473881,covid-19
NCT04325919,12470778,covid-19
NCT04383457,12461131,covid-19
NCT04414618,13030673,covid-19
NCT04369989,12463401,covid-19
NCT04359836,12465147,covid-19
NCT04395716,12459210,covid-19
NCT04385069,12460879,cov-hi
NCT04335188,12469192,covid-19
NCT04338906,12468518,covid-19
NCT04339998,12468346,covid-19
NCT04342728,13164182,covid-19
NCT04342884,12467899,covid-19
NCT04352699,12466295,covid-19
NCT04353141,12466197,covid-19
NCT04354766,12465919,covid-19
NCT04357431,12465505,covid-19
NCT04357769,13059541,covid-19
NCT04359290,12465236,covid-19
NCT04359303,12465233,covid-19
NCT04359329,12465231,covid-19
NCT04359836,12465141,covid-19
NCT04361253,12464903,covid-19
NCT04362150,12464753,covid-19
NCT04362969,12464612,covid-19
NCT04366167,12464078,covid-19
NCT04366206,12464072,covid-19
NCT04366219,12464069,covid-19
NCT04366271,12464062,covid-19
NCT04369365,12463508,covid-19
NCT04369989,12463395,covid-19
NCT04374370,12462678,covid-19
NCT04375774,12462414,covid-19
NCT04382846,12461234,covid-19
NCT04382924,12461225,covid-19
NCT04382950,12461220,covid-19
NCT04383626,12461102,covid-19
NCT04384887,12460907,covid-19
NCT04388657,12460258,covid-19
NCT04389450,12460129,covid-19
NCT04391179,13050239,covid-19
NCT04392427,12459684,covid-19
NCT04395599,12459225,covid-19
NCT04395781,12459195,covid-19
NCT04395807,12459192,covid-19
NCT04397172,12458992,covid-19
NCT04397575,12458919,covid-19
NCT04397705,13138680,covid-19
NCT04399109,12458649,covid-19
NCT04402957,12458064,covid-19
NCT04405544,12457696,covid-19
NCT04409821,13059387,covid-19
NCT04419025,13163995,covid-19
NCT04432350,12453857,covid-19
NCT04445467,12451877,covid-19
NCT04447534,12451589,covid-19
NCT04454333,12450545,covid-19
NCT04460534,12449662,covid-19
NCT04468217,12448484,covid-19
NCT04473898,13174536,covid-19
NCT04492202,12445069,covid-19
NCT04498936,12444061,covid-19
NCT04579627,12432318,covid-19
NCT04407260,13164016,covid-19
NCT04335097,12469211,covid-19
NCT04343092,12467875,covid-19
NCT04347538,12467152,covid-19
NCT04354753,12465922,covid-19
NCT04357834,12465453,covid-19
NCT04359836,12465148,covid-19
NCT04399980,12458523,covid-19
NCT04417374,12456076,covid-19
NCT04519411,13049593,covid-19
NCT04669054,12419250,covid-19
NCT04603729,12428782,covid-19
NCT04349410,12466844,covid-19
NCT03944447,12526700,covid-19
NCT04061382,12510532,covid-19
NCT04252118,12483495,covid-19
NCT04280705,12478521,covid-19
NCT04292899,12476334,covid-19
NCT04302519,12474707,covid-19
NCT04303299,12474575,covid-19
NCT04307693,12473851,covid-19
NCT04315896,12472354,covid-19
NCT04316299,12472295,covid-19
NCT04324528,12470989,covid-19
NCT04328285,12470401,covid-19
NCT04328961,12470294,covid-19
NCT04329507,12470196,covid-19
NCT04331834,13164206,covid-19
NCT04333693,12469487,covid-19
NCT04334044,13050440,covid-19
NCT04335123,12469206,covid-19
NCT04336332,13138855,covid-19
NCT04338074,13164190,covid-19
NCT04338802,12468534,covid-19
NCT04339608,12468414,covid-19
NCT04339712,12468397,covid-19
NCT04339816,12468372,covid-19
NCT04342650,12467937,covid-19
NCT04342702,12467930,covid-19
NCT04342806,12467917,covid-19
NCT04343183,12467866,covid-19
NCT04343690,12467781,covid-19
NCT04344184,13115050,covid-19
NCT04344444,12467652,covid-19
NCT04344457,12467651,covid-19
NCT04346017,12467409,covid-19
NCT04346264,12467367,covid-19
NCT04346810,12467276,covid-19
NCT04347928,12467094,covid-19
NCT04347954,12467089,covid-19
NCT04347993,12467084,covid-19
NCT04348071,13115042,covid-19
NCT04348864,13164163,covid-19
NCT04349631,12466808,covid-19
NCT04350073,12466747,covid-19
NCT04353518,12466128,covid-19
NCT04353596,12466113,covid-19
NCT04354389,12465975,covid-19
NCT04354428,12465970,covid-19
NCT04354441,12465965,covid-19
NCT04354519,12465955,covid-19
NCT04354584,13174817,covid-19
NCT04354701,12465926,covid-19
NCT04354714,12465925,covid-19
NCT04354805,12465913,covid-19
NCT04354818,12465911,covid-19
NCT04354831,12465906,covid-19
NCT04354857,12465904,covid-19
NCT04354870,12465903,covid-19
NCT04355494,12465827,covid-19
NCT04356950,12465585,covid-19
NCT04357106,12465561,covid-19
NCT04358926,13059536,covid-19
NCT04359277,12465237,covid-19
NCT04359316,12465232,covid-19
NCT04359459,12465212,covid-19
NCT04359667,12465171,covid-19
NCT04359797,12465151,covid-19
NCT04359836,12465142,covid-19
NCT04361318,12464891,covid-19
NCT04362176,12464748,covid-19
NCT04362189,12464747,covid-19
NCT04363203,12464576,covid-19
NCT04366154,12464079,covid-19
NCT04369690,12463459,covid-19
NCT04369742,12463454,covid-19
NCT04369794,12463435,covid-19
NCT04369807,12463434,covid-19
NCT04369820,12463433,covid-19
NCT04373109,12462875,covid-19
NCT04373291,13050315,covid-19
NCT04373811,13174782,covid-19
NCT04374656,12462619,covid-19
NCT04375735,12462422,covid-19
NCT04376814,12462255,covid-19
NCT04377789,13174778,covid-19
NCT04378452,13066433,covid-19
NCT04380376,12461658,covid-19
NCT04380402,12461655,covid-19
NCT04380779,12461578,covid-19
NCT04381013,12461546,covid-19
NCT04382586,13138721,covid-19
NCT04383002,12461214,covid-19
NCT04383444,12461132,covid-19
NCT04383535,12461121,covid-19
NCT04383678,12461086,covid-19
NCT04384731,13059460,covid-19
NCT04384900,12460903,covid-19
NCT04384926,12460898,covid-19
NCT04385043,12460883,covid-19
NCT04385069,12460880,covid-19
NCT04387760,12460386,covid-19
NCT04389489,12460124,covid-19
NCT04392141,12459719,covid-19
NCT04393155,13138694,covid-19
NCT04397237,12458978,covid-19
NCT04397523,12458932,covid-19
NCT04397562,12458927,covid-19
NCT04400890,12458391,covid-19
NCT04402840,12458084,covid-19
NCT04402879,12458075,covid-19
NCT04402892,12458072,covid-19
NCT04405908,12457643,covid-19
NCT04405921,12457642,covid-19
NCT04409899,12457085,covid-19
NCT04412486,12456706,covid-19
NCT04413955,12456510,covid-19
NCT04420988,12455516,covid-19
NCT04421027,13174666,covid-19
NCT04425538,13174655,covid-19
NCT04426201,13163974,covid-19
NCT04426695,13066354,covid-19
NCT04427501,13163960,covid-19
NCT04433910,12453633,covid-19
NCT04435457,13066329,covid-19
NCT04441996,12452399,covid-19
NCT04442178,13163867,covid-19
NCT04448743,12451413,covid-19
NCT04452669,13049950,covid-19
NCT04454307,12450548,covid-19
NCT04456413,12450261,covid-19
NCT04459819,13163816,covid-19
NCT04461379,12449479,covid-19
NCT04469491,12448314,covid-19
NCT04475107,12447537,covid-19
NCT04479644,12446877,covid-19
NCT04490486,13071208,covid-19
NCT04497987,13138408,covid-19
NCT04498299,12444184,covid-19
NCT04498325,12444180,covid-19
NCT04507256,12442722,covid-19
NCT04511819,13066095,covid-19
NCT04521309,13138336,covid-19
NCT04527081,12439825,covid-19
NCT04528368,13049552,covid-19
NCT04537338,12438330,covid-19
NCT04550338,13163527,covid-19
NCT04566770,12434098,covid-19
NCT04574869,12433008,covid-19
NCT04578509,12432493,covid-19
NCT04579549,12432327,covid-19
NCT04583761,12431734,covid-19
NCT04595773,13070781,covid-19
NCT04601077,12429157,covid-19
NCT04603651,13174073,covid-19
NCT04603924,13137932,covid-19
NCT04615936,12427028,covid-19
NCT04615949,12427025,covid-19
NCT04634409,13173984,covid-19
NCT04668170,12419380,covid-19
NCT04676971,12418117,covid-19
NCT04679584,12417764,covid-19
NCT04689477,12416363,covid-19
NCT04690387,12416261,covid-19
NCT04691921,13163026,covid-19
NCT04696562,12415250,covid-19
NCT04701515,12414518,covid-19
NCT04708236,12413538,covid-19
NCT04723524,13029852,covid-19
NCT04325867,12470795,covid-19
NCT04342104,13164185,covid-19
NCT04344431,12467653,covid-19
NCT04352634,12466300,covid-19
NCT04352751,12466281,covid-19
NCT04355702,12465800,covid-19
NCT04360538,12465016,covid-19
NCT04362319,12464729,covid-19
NCT04366180,12464076,covid-19
NCT04366232,12464068,covid-19
NCT04368156,13164116,covid-19
NCT04370171,12463373,covid-19
NCT04395716,12459207,covid-19
NCT04406532,12457552,covid-19
NCT04418245,12455946,covid-19
NCT04430049,13050099,covid-19
NCT04433871,12453636,covid-19
NCT04438239,12453010,covid-19
NCT04442048,12452390,covid-19
NCT04453488,12450684,covid-19
NCT04456361,12450268,covid-19
NCT04590378,12430756,covid-19
NCT04703608,13173714,covid-19
NCT04385069,12460881,covid-19 (cov) hyperinflammatory (hi) syndrome
NCT04678739,12417849,covid-19
NCT04385017,12460885,covid-19
NCT04347369,12467185,covid-19
NCT04359212,12465246,covid-19
NCT04345510,12467480,covid-19
NCT04350086,12466743,covid-19
NCT04382781,12461242,covid-19
NCT04416438,12456201,covid-19
NCT04455815,12450354,covid-19
NCT04682912,13058134,covid-19
NCT04697927,12415028,covid-19 infections in cancer patients
NCT04674644,13048570,covid-19 pandemic
NCT04374903,12462578,covid-19 patients
NCT04407130,13066375,covid-19 patients
NCT04592835,12430418,covid-19 patients
NCT04315987,12472344,covid-19 pneumonia
NCT04363736,12464486,covid-19 pneumonia
NCT04370223,12463368,covid-19 pneumonia
NCT04390217,13174763,covid-19 pneumonia
NCT04409262,13066372,covid-19 pneumonia
NCT04610554,12427818,covid-19 pneumonia
NCT04640233,13030143,covid-19 prevention
NCT04382586,13138720,covid-19 pulmonary complications
NCT04538586,12438139,covid-19 screening
NCT04441918,12452406,covid-19; and high infection risk of sars-cov-2
NCT04303507,12474532,covid-19
NCT04328272,12470402,covid-19
NCT04338828,13164187,covid-19
NCT04347941,12467092,covid-19
NCT04349540,12466822,covid-19
NCT04353180,13059561,covid-19
NCT04356677,12465635,covid-19
NCT04359654,12465173,covid-19
NCT04367883,13050346,covid-19
NCT04377646,12462129,covid-19
NCT04383548,12461118,covid-19
NCT04395768,12459197,covid-19
NCT04406038,13059393,covid-19
NCT04410510,12456975,covid-19
NCT04438694,12452948,covid-19
NCT04477213,12447201,covid-19
NCT04623255,12425935,covid-19
NCT04668222,12419372,covid-19
NCT03907891,12531765,covid-19
NCT04107402,12503818,covid-19
NCT04160975,12496459,covid-19
NCT04337346,12468816,covid-19
NCT04354779,12465918,covid-19
NCT04357028,12465568,covid-19
NCT04359927,12465118,covid-19
NCT04363749,12464484,covid-19
NCT04373096,12462877,covid-19
NCT04374513,13059497,covid-19
NCT04375410,12462487,covid-19
NCT04380532,12461634,covid-19
NCT04382794,12461241,covid-19
NCT04390217,13174762,covid-19
NCT04415060,12456360,covid-19
NCT04435717,12453388,covid-19
NCT04470999,12448120,covid-19
NCT04475120,12447536,covid-19
NCT04480333,12446778,covid-19
NCT04480398,12446771,covid-19
NCT04480411,13071229,covid-19
NCT04481477,12446594,covid-19
NCT04491214,13138425,covid-19
NCT04493242,12444911,covid-19
NCT04494646,13163695,covid-19
NCT04494984,13138419,covid-19
NCT04498442,13049693,covid-19
NCT04498507,12444159,covid-19
NCT04499300,12444010,covid-19
NCT04501458,13163672,covid-19
NCT04503447,12443302,covid-19
NCT04504240,12443187,covid-19
NCT04505605,12442956,covid-19
NCT04505631,12442949,covid-19
NCT04508777,13138386,covid-19
NCT04510402,12442302,covid-19
NCT04510467,12442293,covid-19
NCT04514874,12441561,covid-19
NCT04515199,12441512,covid-19
NCT04523012,12440387,covid-19
NCT04524234,12440235,covid-19
NCT04531254,12439228,covid-19
NCT04535128,12438680,covid-19
NCT04540484,12437877,covid-19
NCT04542330,12437574,covid-19
NCT04542447,12437565,covid-19
NCT04543760,12437383,covid-19
NCT04544176,13138202,covid-19
NCT04544878,12437235,covid-19
NCT04545541,12437136,covid-19
NCT04555096,12435785,covid-19
NCT04555109,12435784,covid-19
NCT04555187,12435773,covid-19
NCT04557046,13030399,covid-19
NCT04561024,12434960,covid-19
NCT04567979,12433927,covid-19
NCT04568707,12433829,covid-19
NCT04568889,13124826,covid-19
NCT04572438,12433354,covid-19
NCT04573270,12433252,covid-19
NCT04579640,12432316,covid-19
NCT04581863,13138039,covid-19
NCT04581928,13163426,covid-19
NCT04582331,13030288,covid-19
NCT04584567,13070801,covid-19
NCT04584593,12431602,covid-19
NCT04584710,13113591,covid-19
NCT04588792,13049145,covid-19
NCT04593069,12430392,covid-19
NCT04594356,12430173,covid-19
NCT04596657,12429822,covid-19
NCT04598256,12429575,covid-19
NCT04598347,12429560,covid-19
NCT04598620,12429515,covid-19
NCT04603105,12428864,covid-19
NCT04608383,12428118,covid-19
NCT04609462,13174051,covid-19
NCT04610138,13049016,covid-19
NCT04610567,12427817,covid-19
NCT04611841,12427617,covid-19
NCT04617119,12426798,covid-19
NCT04618861,12426561,covid-19
NCT04626076,12425498,covid-19
NCT04627194,12425328,covid-19
NCT04628637,12425119,covid-19
NCT04632355,12424601,covid-19
NCT04636294,13163258,covid-19
NCT04641182,12423275,covid-19
NCT04646525,12422524,covid-19
NCT04648800,12422204,covid-19
NCT04649918,13173910,covid-19
NCT04651400,12421863,covid-19
NCT04653727,13058269,covid-19
NCT04655586,13163184,covid-19
NCT04656691,12421110,covid-19
NCT04659122,12420779,covid-19
NCT04665778,12419699,covid-19
NCT04665960,13163129,covid-19
NCT04667442,12419473,covid-19
NCT04674553,12418445,covid-19
NCT04678739,12417848,covid-19
NCT04681092,12417555,covid-19
NCT04686565,13058120,covid-19
NCT04689711,12416336,covid-19
NCT04692779,13173758,covid-19
NCT04695158,13137508,covid-19
NCT04700163,13058054,covid-19
NCT04701502,12414519,covid-19
NCT04704466,13048377,covid-19
NCT04706533,12413759,covid-19
NCT04707339,12413650,covid-19
NCT04709003,12413417,covid-19
NCT04710381,12413215,covid-19
NCT04710394,12413209,covid-19
NCT04712357,12412939,covid-19
NCT04716556,12412306,covid-19
NCT04718220,12412065,covid-19
NCT04718506,12412031,covid-19
NCT04721535,13048232,covid-19
NCT04724616,12411211,covid-19
NCT04724629,12411210,covid-19
NCT04725097,12411153,covid-19
NCT04728698,13048136,covid-19
NCT04728828,12462265,covid-19
NCT04729140,13048125,covid-19
NCT04729153,13057894,covid-19
NCT04730323,13029722,covid-19
NCT04730401,13029706,covid-19
NCT04730856,13029649,covid-19
NCT04395482,12459248,covid-19
NCT04359862,12465137,covid-19
NCT04535063,12438694,covid19 pneumonia
NCT04378920,13164096,"covid19, sepsis or other causes"
NCT04678700,13058146,covid-19
NCT04343144,12467871,covid-19
NCT04378582,12461955,critical illness
NCT04378842,12461912,critical illness
NCT04498507,12444156,critical illness
NCT04511780,12442099,critical illness
NCT04698798,13173746,critical illness
NCT04383730,13138714,critically illness
NCT03944447,12526678,crohn disease
NCT04324528,12470992,cytokine storm
NCT04657458,12420988,cytokine storm
NCT04362137,12464754,cytokine storm (covid-19)
NCT04663945,13070558,deconditioning
NCT04338932,12468515,deep vein thrombosis (dvt)/thrombophlebitis
NCT04452422,12450827,deep venous thrombosis
NCT03944447,12526693,depression
NCT04343664,13115055,depression
NCT04352634,12466304,depression
NCT04356365,12465690,depression
NCT04334967,12469238,covid-19
NCT04273646,12479745,covid-19
NCT04275388,12479456,covid-19
NCT04255017,12483017,covid-19
NCT04260594,12482057,covid-19
NCT04261426,12481913,covid-19
NCT04261907,12481843,covid-19
NCT04272710,12479885,covid-19
NCT04273763,12479727,covid-19
NCT04321928,12471438,covid-19
NCT04334967,12469237,covid-19
NCT04335019,12469227,covid-19
NCT04261270,12481930,covid-19
NCT04263402,12481637,covid-19
NCT04321928,12471439,covid-19
NCT04459975,12449736,abnormalities of urinary analysis
NCT04636554,13179786,acinetobacter baumannii infection
NCT04325867,12470787,acute coronary syndrome
NCT04335162,12469197,acute coronary syndrome
NCT04326387,12470704,acute disease
NCT04344730,13115048,acute hypoxemic respiratory failure
NCT04545242,12437194,acute hypoxemic respiratory failure
NCT04570384,12433616,acute hypoxemic respiratory failure
NCT04581811,12431977,acute hypoxemic respiratory failure
NCT04316299,12472296,acute kidney injury
NCT04316884,12472220,acute kidney injury
NCT04530448,12439360,acute kidney injury
NCT04594291,12430182,acute kidney injury
NCT04706325,12413795,acute kidney injury
NCT04331613,12469805,acute lung injury
NCT04389840,13169638,acute lung injury
NCT04397510,12458936,acute lung injury
NCT04449081,12451369,acute lung injury
NCT04402866,13180273,acute lung injury (ali) associated with covid-19
NCT04360096,13180346,acute lung injury/acute respiratory distress syndrome (ards)
