nct_id,id,name
NCT04583345,12110857,turkey
NCT04561102,12110957,united states
NCT04731324,11980478,india
NCT04731116,11980492,israel
NCT04730856,11980508,spain
NCT04730427,11980530,korea
NCT04730401,11980531,finland
NCT04730323,11980540,pakistan
NCT04730284,11980542,hong kong
NCT04728802,11980572,brazil
NCT04723524,11980596,pakistan
NCT04715438,11980620,netherlands
NCT04712110,11980631,japan
NCT04707664,11980637,united states
NCT04702178,11980657,canada
NCT04696679,11980663,france
NCT04695301,11980664,brazil
NCT04546581,12111056,denmark
NCT04546581,12111057,greece
NCT04546581,12111058,japan
NCT04546581,12111059,nigeria
NCT04546581,12111060,spain
NCT04546581,12111061,united kingdom
NCT04546581,12111062,united states
NCT04546581,12111063,argentina
NCT04647682,11980732,france
NCT04640233,11980766,india
NCT04637295,11980774,united states
NCT04625725,11980816,belgium
NCT04625725,11980817,france
NCT04625725,11980818,spain
NCT04625725,11980819,united kingdom
NCT04625725,11980820,united states
NCT04530617,12111156,mexico
NCT04590352,11980920,netherlands
NCT04584450,11980931,turkey
NCT04583592,11980934,united states
NCT04582331,11980943,india
NCT04582331,11980944,united states
NCT04501978,12111265,denmark
NCT04501978,12111266,india
NCT04501978,12111267,poland
NCT04501978,12111268,singapore
NCT04501978,12111269,spain
NCT04501978,12111270,switzerland
NCT04501978,12111271,united states
NCT04575038,11980991,united states
NCT04557046,11981048,united states
NCT04545060,11981093,austria
NCT04545060,11981094,brazil
NCT04545060,11981095,canada
NCT04545060,11981096,chile
NCT04545060,11981097,france
NCT04545060,11981098,peru
NCT04545060,11981099,spain
NCT04545060,11981100,united kingdom
NCT04545060,11981101,united states
NCT04464395,11981299,united states
NCT04459962,11981314,united kingdom
NCT04448756,11981355,brazil
NCT04448756,11981356,united states
NCT04441476,11981374,france
NCT04414618,11981434,israel
NCT04414618,11981435,united states
NCT04412668,11981436,puerto rico
NCT04412668,11981437,united states
NCT04401410,11981444,united states
NCT04362085,11981510,canada
NCT04345601,11981538,united states
NCT04414293,12111703,spain
NCT04290780,11981634,france
NCT04392453,12111755,italy
NCT04385160,12111774,france
NCT04385160,12111775,germany
NCT04385160,12111776,italy
NCT04385160,12111777,poland
NCT04385160,12111778,spain
NCT04385160,12111779,united kingdom
NCT04385160,12111780,united states
NCT04385160,12111781,denmark
NCT04384965,12111782,canada
NCT04375761,12111849,united states
NCT04366908,12111863,spain
