nct_id,id,allocation,intervention_model,observational_model,primary_purpose,time_perspective,masking,masking_description,intervention_model_description,subject_masked,caregiver_masked,investigator_masked,outcomes_assessor_masked
NCT04564040,6961724,Randomized,Crossover Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04537858,6963734,Randomized,Crossover Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04456413,6969990,Randomized,Crossover Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04433910,6971720,Randomized,Crossover Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04345445,6979176,Randomized,Crossover Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04341922,6979490,Randomized,Crossover Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04335552,6980054,Randomized,Factorial Assignment,,Treatment,,None (Open Label),,Patients will be initially randomized to one of two arms in a 1:1 ratio: 1) Standard of care treatment or 2) Standard of care treatment plus 5 days of hydroxychloroquine. Participants who meet eligibility criteria to receive azithromycin will undergo a second randomization in a 1:1 ratio to receive additional concurrent therapy.,False,False,False,False
NCT04483960,6967875,Randomized,Factorial Assignment,,Treatment,,None (Open Label),This is an open-label study.,"Participants enrolled into the study have the option of deciding whether to be randomised in one or more (if available) treatment domains concurrently, if they meet the eligibility criteria.",False,False,False,False
NCT04673318,6953328,Randomized,Parallel Assignment,,Basic Science,,None (Open Label),,,False,False,False,False
NCT04397692,6974502,Randomized,Parallel Assignment,,Device Feasibility,,None (Open Label),,,False,False,False,False
NCT04343794,6979333,Randomized,Parallel Assignment,,Diagnostic,,None (Open Label),,,False,False,False,False
NCT04372680,6976689,Randomized,Parallel Assignment,,Diagnostic,,None (Open Label),,"Multicenter, Randomized, Controlled, open-label, in parallel group",False,False,False,False
NCT04453553,6970210,Randomized,Parallel Assignment,,Diagnostic,,None (Open Label),No masking will be used as the study arms have different testing patterns,randomised cluster trial of care homes,False,False,False,False
NCT04723550,6949465,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04652674,6954915,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04456062,6970017,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
