nct_id,id,status,name,city,state,zip,country
NCT04336657,74841727,Recruiting,AssiutU,assiut,,71111,egypt
NCT04336462,74841754,Recruiting,First Affiliated Hospital of Guangzhou Medical University,guangzhou,guangdong,510000,china
NCT04336410,74841759,,Central Kentucky Research Associates,lexington,kentucky,40509,united states
NCT04336410,74841760,,Center for Pharmaceutical Research,kansas city,missouri,64114,united states
NCT04336410,74841761,,University of Pennsylvania,philadelphia,pennsylvania,19104,united states
NCT04336345,74841770,,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,mexico city,,14000,mexico
NCT04336345,74841771,,All centres from Mexico willing to contribute are Welcome.,mexico,,,mexico
NCT04336254,74841785,Recruiting,Renmin Hospital of Wuhan University (East Campus),wuhan,hubei,,china
NCT04335851,74841844,,Biruni University,istanbul,,,turkey
NCT04335851,74841845,,Istanbul University Cerrahpasa,istanbul,,,turkey
NCT04335786,74841848,Recruiting,Jeroen Bosch Ziekenhuis,'s-hertogenbosch,,,netherlands
NCT04335786,74841849,Recruiting,Rijnstate,arnhem,,6815AD,netherlands
NCT04335786,74841850,Recruiting,Radboudumc,nijmegen,,,netherlands
NCT04335786,74841851,Recruiting,Laurentius Ziekenhuis,roermond,,,netherlands
NCT04335786,74841852,Recruiting,Erasmus MC,rotterdam,,,netherlands
NCT04335786,74841853,Recruiting,Franciscus Gasthuis,rotterdam,,,netherlands
NCT04335786,74841854,Recruiting,Ikazia Ziekenhuis,rotterdam,,,netherlands
NCT04335773,74841855,Recruiting,Akershus universistetssykehus,lørenskog,,,norway
NCT04335747,74841857,Recruiting,Aalborg University Hospital,aalborg,,9000,denmark
NCT04335630,74841881,Recruiting,Memorial Hermann Hospital-Texas Medical Center,houston,texas,77030,united states
NCT04335552,74841954,,Duke Regional Hospital,durham,north carolina,27704,united states
NCT04335552,74841955,,Duke University Hospital,durham,north carolina,27710,united states
NCT04335552,74841956,,Durham VA Medical Center,durham,north carolina,27710,united states
NCT04335552,74841957,,Duke Raleigh Hospital,raleigh,north carolina,27609,united states
NCT04335305,74841983,Recruiting,Hospital Quirónsalud Barcelona,barcelona,,08023,spain
NCT04335305,74841984,Withdrawn,Hospital de la Santa Creu i Sant Pau,barcelona,,08025,spain
NCT04335305,74841985,Recruiting,Hospital Universitari Arnau de Vilanova de Lleida,lleida,,25198,spain
NCT04335305,74841986,Recruiting,Hospital Universitario Ramón y Cajal,madrid,,280034,spain
NCT04335305,74841987,Recruiting,Hospital Ruber Juan Bravo,madrid,,28006,spain
NCT04335305,74841988,Recruiting,Hospital Ruber Internacional,madrid,,28036,spain
NCT04335305,74841989,Recruiting,Hospital Arnau de Vilanova-Lliria,valencia,,46015,spain
NCT04335305,74841990,Recruiting,Hospital Universitario Doctor Peset,valencia,,46017,spain
NCT04335279,74841992,,Sir Mortimer B. Davis Jewish General Hospital,montreal,quebec,H3T 1E2,canada
NCT04335188,74842009,Recruiting,"Klinikum der Stadt Ludwigshafen am Rhein GmbH, Klinik für Herzchirurgie",ludwigshafen,rlp,67063,germany
NCT04335162,74842011,Recruiting,Centre Hospitalier de Cannes,cannes,,06400,france
NCT04335162,74842012,Recruiting,CHU de Dijon,dijon,,,france
NCT04335162,74842013,Recruiting,Centre Hospitalier de Draguignan,draguignan,,83300,france
NCT04335162,74842014,Recruiting,Centre Hospitalier de Grasse,grasse,,06130,france
NCT04335162,74842015,Recruiting,Clinique Ambroise-Paré,neuilly,,,france
NCT04335162,74842016,Recruiting,CHU de Nice,nice,,06200,france
NCT04335162,74842017,Recruiting,Hôpitaux Universitaires Paris Centre - Hôpital Cochin,paris,,75014,france
NCT04335162,74842018,Recruiting,CHU de REIMS,reims,,,france
NCT04335136,74842021,,Medizinische Universität Innsbruck,innsbruck,,,austria
NCT04335136,74842022,,"Kaiser Franz Josef Spital, 4. Medizinische Abteilung mit Infektions- und Tropenmedizin",wien,,,austria
NCT04335136,74842023,,Medizinische Universität Wien,wien,,,austria
NCT04335136,74842024,,"The National University Hospital, Rigshospitalet",copenhagen,,,denmark
NCT04335136,74842025,,Herlev Gentofte Hospital,herlev,,2730,denmark
NCT04335136,74842026,,Nordsjællands Hospital,hillerød,,3400,denmark
NCT04335136,74842027,,Hvidovre Hospital,hvidovre,,2650,denmark
NCT04335136,74842028,,Universitätsklinikum Hamburg-Eppendorf,hamburg,,,germany
NCT04335136,74842029,,"Klinikum rechts der Isar, Technische Universität München",münchen,,,germany
NCT04335136,74842030,,"Regional State Budgetary Educational Institution Clinical Hospital № 5, Barnaul",barnaul,,656045,russian federation
NCT04335136,74842031,,State Healthcare Institution State Clinical Hspital № 15 named after O.M. Filatov,moscow,,111539,russian federation
NCT04335136,74842032,,Moscow State Budgetary Healthcare Institution City Clinical Hospital №52 of Health Department of Moscow,moscow,,123182,russian federation
NCT04335136,74842033,,Moscow State Budgetary Healthcare Institution N.V. Sklifosovsky Research Institute for Emergency Medicine of Health Department of Moscow,moscow,,129090,russian federation
NCT04335136,74842034,,Saint Petersburg SBHI City Hospital 38 named after N A Semashko,pushkin,,196600,russian federation
NCT04335136,74842035,,Federal State Budgetary Educational Institution of Higher Education Ryazan State Medical University named after I.P. Pavlov HD RF,ryazan,,390026,russian federation
NCT04335136,74842036,,Alexandrovskaya Hospital,saint-petersburg,,193312,russian federation
NCT04335136,74842037,,Saint-Petersburg State Budget Healthcare Institution City Hospital 15,saint-petersburg,,198205,russian federation
NCT04335136,74842038,,Federal State Budgetary Educational Institution of Higher Education  Saratov State Medical University named after V.I. Razumovsky HD RF,saratov,,410054,russian federation
NCT04335136,74842039,,Regional State Budgetary Healthcare Institution Clinical Hospital №1,smolensk,,214006,russian federation
NCT04335136,74842040,,State budgetary institution of Healthcare of Tver region Regional clinical hospital,tver,,170036,russian federation
NCT04335136,74842041,,Yaroslavl Regional Clinical Hospital for Military Veterans - International Centre for Gerontological Problems Healthy Ageing,yaroslavl,,150047,russian federation
NCT04335136,74842042,,Cambridge University Hospitals NHS Trust/University of Cambridge,cambridge,,CB2 0QQ,united kingdom
NCT04335123,74842043,,University of Kansas Medical Center,kansas city,kansas,66160,united states
NCT04335097,74842045,Recruiting,Lillestrom legevakt,lillestrom,,,norway
NCT04335071,74842047,,University Hospital Bern (Inselspital),bern,,3010,switzerland
NCT04335071,74842048,,Centre Hospitalier Universitaire Vaudois (CHUV),lausanne,,1011,switzerland
NCT04335071,74842049,,Ospedale Regionale di Lugano (EOC),viganello,,6962,switzerland
NCT04335071,74842050,,University Hospital Zurich,zurich,,8091,switzerland
NCT04334980,74842066,Recruiting,Nucleus Network Pty Ltd (Trading as Centre for Clinical Studies),melbourne,victoria,3004,australia
NCT04334967,74842067,,Portland Providence Medical Center,portland,oregon,97213,united states
