nct_id,id,intervention_type,name,description
NCT04731324,12911670,Drug,zyil1 capsule,nlrp3 inflammasome inhibitor
NCT04731116,12911692,Drug,cannabidiol,oral cannabidiol 150 mg twice daily during 14 days
NCT04730856,12911727,Drug,tinzaparin,"day subcutaneously • follow-up phase 1 (day 15 to day 30): the information is obtained at discharge and on day +14, + 28 on 30 days. the latter information is obtained from patients, from medical records or by telephone contact at the patient's home.~• follow-up phase 2 (at 6 months: information is obtained from patients, medical records, or by telephone contact at the patient's home."
NCT04730427,12911782,Drug,gx-i7,recombinant human interleukin-7 hybrid fc
NCT04730427,12911783,Drug,gx-i7 vehicle,formulation buffer of recombinant human interleukin-7 hybrid fc
NCT04730401,12911785,Biological,convalescent plasma,convalescent plasma from covid-19 donors
NCT04730401,12911786,Biological,placebo,200ml saline
NCT04730323,12911794,Drug,tocilizumab,"participants received an initial dose calculated as per the body weight (8mg/kg) maximum 800mg/dose) over 1 hour, followed by up to three additional doses if required as per the response after the first dose with 8 hours intervals. predefined parameters of disease severity were assessed 12 to 24 hourly. injection paracetamol 1g was administered before infusion. the response of the participants after tocilizumab administration was recorded based on clinical parameters (oxygen requirement, fever, need for invasive positive pressure ventilation), biochemical parameters (d-dimers, c-reactive protein (crp), ferritin, lactate dehydrogenase (ldh) levels), chest x-ray findings, and repeated pcr test for covid-19. any side effects noted after administration of tocilizumab were recorded.~any side effects noted after administration of tcz/ corticosteroid were recorded."
NCT04730284,12911799,Other,health supplements,"tailor-made synbiotics, 4g per day for 28 days"
NCT04728802,12911865,Drug,proxalutamide,proxalutamide 300mg q.d
NCT04728802,12911866,Drug,standard treatment for covid-19,standard of care drugs as determined by the pi
NCT04723524,12911920,Combination Product,"jinhua qinggan (jhqg) granules, traditional chinese medicine","jinhua qinggan granules: 5g/sachet; 1 sachet each time, 3 times daily after meal, dissolve in boil water."
NCT04723524,12911921,Other,placebo,"jinhua qinggan granules simulation (placebo) agent: 5g/sachet; 1 sachet each time, 3 times daily after meal, dissolve in boil water."
NCT04715815,12911974,Other,no intervention/observational,interview
NCT04712110,12911986,Biological,tak-919,tak-019 intramuscular injection
NCT04712110,12911987,Biological,placebo,placebo intramuscular injection
