nct_id,id,outcome_type,title,description,time_frame,population,units,dispersion_type,param_type
NCT04646109,6045646,Secondary,Treatment-Related Adverse Events as Assessed by CTCAE v4.0,"Adverse effects of ivermectin and drugs other than ivermectin (Hydroxychloroquine, favipiravir, azithromycin) were evaluated in the patients in the study group and and the number of participants were noted.~Adverse effects of drugs other than ivermectin (Hydroxychloroquine, favipiravir, azithromycin) were evaluated in the patients in the control group and and the number of participants were noted.",From the 6th day of study to the 10th day of study,,Participants,,Count of Participants
NCT04646109,6045647,Secondary,Rate of COVID-19 Polymerase Chain Reaction (PCR) Test Negativity,"At the end of the follow-up period (10th day), patients in the study and control group were investigated by PCR test for SARS-CoV-2 and the negative results were recorded as percentage for both groups.",At the end of 10th day,PCR test was applied to 8 patients in the control group and 16 patients in the study group at the end of the study (secondary endpoint).,Participants,,Count of Participants
NCT04646109,6045648,Secondary,Changes in Serum D-dimer Levels,"In both groups, after the treatment period was completed (first 5 days, primary endpoint), patients were followed up for 5 more days (follow-up period). Serum D-dimer levels (mg/L) at the end of 6th (FD1), 8th (FD3) and 10th day (FD5) were also recorded. The end of the 10th day was accepted as the secondary endpoint. While the change in Serum D-dimer levels on the 6th, 8th and 10th days was calculated graphically, the change in the serum D-dimer level at the end of the 10th day (secondary endpoint) with the baseline value was compared statistically (the results were given as p value).",From 6th to the end of 10th day,,mg/L,Standard Deviation,Mean
NCT04646109,6045649,Secondary,Changes in Serum Ferritin Levels,"In both groups, after the treatment period was completed (first 5 days, primary endpoint), patients were followed up for 5 more days (follow-up period). Serum ferritin levels (mg/dL) at the end of 6th (FD1), 8th (FD3) and 10th day (FD5) were also recorded. The end of the 10th day was accepted as the secondary endpoint. While the change in serum ferritin levels on the 6th, 8th and 10th days was calculated graphically, the change in the serum ferritin level at the end of the 10th day (secondary endpoint) with the baseline value was compared statistically (the results were given as p value).",From 6th to the end of 10th day,,mg/dL,Standard Deviation,Mean
NCT04646109,6045650,Secondary,Changes in the Ratio of Polymorphonuclear Leukocyte Count to Lymphocyte Count (PNL/L),"In both groups, after the treatment period was completed (first 5 days, primary endpoint), patients were followed up for 5 more days (follow-up period). PNL/L ratios at the end of 6th (FD1), 8th (FD3) and 10th day (FD5) were also recorded. The end of the 10th day was accepted as the secondary endpoint. While the change in PNL/L ratios on the 6th, 8th and 10th days was calculated graphically, the change in the PNL/L ratio at the end of the 10th day (secondary endpoint) with the baseline value was compared statistically (the results were given as p value).",From 6th to the end of 10th day,,Ratio,Standard Deviation,Mean
NCT04646109,6045651,Secondary,Changes in Serum Lymphocyte Counts,"In both groups, after the treatment period was completed (first 5 days, primary endpoint), patients were followed up for 5 more days (follow-up period). Serum lymphocyte counts (cell/mm^3) at the end of 6th (FD1), 8th (FD3) and 10th day (FD5) were also recorded. The end of the 10th day was accepted as the secondary endpoint. While the change in serum lymphocyte counts on the 6th, 8th and 10th days was calculated graphically, the change in the serum lymphocyte count at the end of the 10th day (secondary endpoint) with the baseline value was compared statistically (the results were given as p value).",From 6th to the end of 10th day,,cell/mm^3,Standard Deviation,Mean
NCT04646109,6045652,Secondary,Changes in the Ratio of Partial Pressure of Oxygen (PaO2) to Fraction of Inspired Oxygen (FiO2) (PaO2/FiO2),"In both groups, after the treatment period was completed (first 5 days, primary endpoint), patients were followed up for 5 more days (follow-up period). PaO2/FiO2 ratios at the end of 6th (FD1), 8th (FD3) and 10th day (FD5) were also recorded. The end of the 10th day was accepted as the secondary endpoint. While the change in PaO2/FiO2 ratios on the 6th, 8th and 10th days was calculated graphically, the change in the PaO2/FiO2 ratio at the end of the 10th day (secondary endpoint) with the baseline ratio was compared statistically (the results were given as p value).",From 6th to the end of 10th day,,Ratio,Standard Deviation,Mean
NCT04646109,6045653,Secondary,Changes in Oxygen Saturation (SpO2) Values,"In both groups, after the treatment period was completed (first 5 days, primary endpoint), patients were followed up for 5 more days (follow-up period). SpO2 values at the end of 6th (FD1), 8th (FD3) and 10th day (FD5) were also recorded. The end of the 10th day was accepted as the secondary endpoint. While the change in SpO2 values on the 6th, 8th and 10th days was calculated graphically, the change in the SpO2 value at the end of the 10th day (secondary endpoint) with the baseline value was compared statistically (the results were given as p value).",From 6th to the end of 10th day,,percentage of peripheral capillary O2,Standard Deviation,Mean
NCT04646109,6045654,Secondary,Mortality,The number of died patients were evaluated in study and control groups,"Through study completion, an average of 3 months",,Participants,,Count of Participants
NCT04646109,6045655,Secondary,Number of Participants With Clinical Response,"The presence of at least two of the following criteria in patients on the 10th day were accepted as clinical response: Respiration rate between 22-24/min, SpO2 level in room air >95%, absence of oxygen requirement, observation of radiological improvement in control lung tomography and no need for intensive care.",10 days (5 days ivermectin therapy plus 5 days follow-up),,Participants,,Count of Participants
