nct_id,id,agency_class,lead_or_collaborator,name
NCT04522986,11084576,Industry,lead,"Rohto Pharmaceutical Co., Ltd."
NCT04335032,11108838,Industry,lead,S.L.A. Pharma AG
NCT04468958,11091165,Industry,lead,"SAb Biotherapeutics, Inc."
NCT04469179,11091135,Industry,lead,"SAb Biotherapeutics, Inc."
NCT04537806,11082845,Industry,lead,Sage Therapeutics
NCT04537572,11082877,Industry,lead,Salveo Diagnostics
NCT04327388,11109999,Industry,lead,Sanofi
NCT04333654,11109058,Industry,lead,Sanofi
NCT04469621,11091085,Industry,lead,Sanofi
NCT04537208,11082934,Industry,lead,"Sanofi Pasteur, a Sanofi Company"
NCT04443868,11094197,Industry,lead,Sanotize Research and Development corp.
NCT04573153,11078598,Industry,lead,ScandiBio Therapeutics AB
NCT04602871,11074959,Industry,lead,Scentech Medical Technologies Ltd
NCT04602884,11074958,Industry,lead,Scentech Medical Technologies Ltd
NCT04602949,11074951,Industry,lead,Scentech Medical Technologies Ltd
NCT04395911,11099974,Industry,lead,SeaStar Medical
NCT04537975,11082826,Industry,lead,SeaStar Medical
NCT04695821,11063516,Industry,lead,Senti Tech Ltd
NCT04445220,11094050,Industry,lead,"Sentien Biotechnologies, Inc."
NCT04336462,11108627,Industry,lead,Shanghai Asclepius Meditec Inc.
NCT04565379,11079520,Industry,lead,Shaperon
NCT04672564,11066436,Industry,lead,"Shenyang Tonglian Group CO., Ltd"
NCT04475107,11090416,Industry,lead,Shin Poong Pharmaceutical Co. Ltd.
NCT04532931,11083464,Industry,lead,Shin Poong Pharmaceutical Co. Ltd.
NCT04701606,11062812,Industry,lead,Shin Poong Pharmaceutical Co. Ltd.
NCT04460105,11092226,Industry,lead,Shire
NCT04718480,11060638,Industry,lead,SigmaDrugs Research Ltd.
NCT04483375,11089436,Industry,lead,Sinocelltech Ltd.
NCT04644185,11069849,Industry,lead,Sinocelltech Ltd.
NCT04683328,11065123,Industry,lead,Sinocelltech Ltd.
NCT04709328,11061864,Industry,lead,Sinocelltech Ltd.
NCT04352608,11106261,Industry,lead,"Sinovac Research and Development Co., Ltd."
NCT04383574,11101658,Industry,lead,"Sinovac Research and Development Co., Ltd."
NCT04551547,11081205,Industry,lead,"Sinovac Research and Development Co., Ltd."
NCT04617483,11073142,Industry,lead,"Sinovac Research and Development Co., Ltd."
NCT04622332,11072497,Industry,lead,"Sironax USA, Inc."
NCT04418544,11097237,Industry,lead,Soniphi LLC
NCT04454398,11092910,Industry,lead,"Sorrento Therapeutics, Inc."
NCT04483973,11089356,Industry,lead,"Sound Pharmaceuticals, Incorporated"
NCT04484025,11089351,Industry,lead,"Sound Pharmaceuticals, Incorporated"
NCT04473248,11090652,Industry,lead,Spartan Bioscience Inc.
NCT04575168,11078358,Industry,lead,Spartan Bioscience Inc.
NCT04628208,11071792,Industry,lead,Spartan Bioscience Inc.
NCT04352985,11106219,Industry,lead,Spectral Diagnostics (US) Inc.
NCT04324021,11110428,Industry,lead,Swedish Orphan Biovitrum
NCT04334980,11108842,Industry,lead,Symvivo Corporation
NCT04385095,11101430,Industry,lead,Synairgen Research Ltd.
NCT04415073,11097679,Industry,lead,Syndax Pharmaceuticals
NCT04397900,11099731,Industry,lead,"TScan Therapeutics, Inc."
NCT04339634,11108164,Industry,lead,Tabula Rasa HealthCare
NCT04378881,11102419,Industry,lead,Tabula Rasa HealthCare
NCT04432350,11095627,Industry,lead,Tabula Rasa HealthCare
NCT04697654,11063296,Industry,lead,Taiwan Liposome Company
NCT04464460,11091725,Industry,lead,Takeda
NCT04331886,11109295,Industry,lead,"Target PharmaSolutions, Inc."
NCT04285190,11116062,Industry,lead,"Tasly Pharmaceuticals, Inc."
NCT04646031,11069648,Industry,lead,"Tasly Pharmaceuticals, Inc."
NCT04419623,11097108,Industry,lead,"Telios Pharma, Inc."
NCT04592354,11076241,Industry,lead,Terra Biological LLC
NCT04596085,11075782,Industry,lead,"The Herb, Inc"
NCT04421391,11096894,Industry,lead,Therapeutic Solutions International
NCT04350736,11106533,Industry,lead,Theravance Biopharma
NCT04681079,11065371,Industry,lead,Theravance Biopharma
NCT04460183,11092218,Industry,lead,Thirty Respiratory Limited
NCT04573270,11078587,Industry,lead,Thomas Advanced Medical LLC
NCT04684602,11064974,Industry,lead,Thomas Advanced Medical LLC
NCT04299152,11114051,Industry,lead,Tianhe Stem Cell Biotechnologies Inc.
NCT04429763,11095929,Industry,lead,Trustem
NCT04429529,11095968,Industry,lead,Tychan Pte Ltd.
NCT04649515,11069175,Industry,lead,Tychan Pte Ltd.
NCT04576312,11078208,Industry,lead,UNION therapeutics
NCT04344951,11107382,Industry,lead,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
NCT04348513,11106870,Industry,lead,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
NCT04545749,11081916,Industry,lead,"United Biomedical Inc., Asia"
NCT04353037,11106209,Industry,lead,UnitedHealth Group
NCT04387409,11101039,Industry,lead,Vakzine Projekt Management GmbH
NCT04326426,11110150,Industry,lead,Vanda Pharmaceuticals
NCT04353401,11106165,Industry,lead,Vanda Pharmaceuticals
NCT04563702,11079718,Industry,lead,Vaxart
NCT04453852,11092976,Industry,lead,Vaxine Pty Ltd
NCT04527471,11084102,Industry,lead,Verona Pharma Inc
NCT04526912,11084159,Industry,lead,Viela Bio
NCT04418505,11097243,Industry,lead,Vielight Inc.
NCT04410354,11098252,Industry,lead,"ViralClear Pharmaceuticals, Inc."
NCT04404192,11098958,Industry,lead,"VistaGen Therapeutics, Inc."
NCT04524715,11084384,Industry,lead,Ward Photonics LLC
NCT04337047,11108547,Industry,lead,Wefight
NCT04389671,11100733,Industry,lead,Windtree Therapeutics
NCT04560855,11080063,Industry,lead,Withings
