nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT04320953,"ClinicalTrials.gov processed this data on January 29, 2021",3/21/2020,,,4/15/2020,3/23/2020,3/25/2020,Actual,,,,,,,4/15/2020,4/17/2020,Actual,"March 16, 2020",Actual,3/16/2020,April 2020,4/30/2020,"April 9, 2020",Actual,4/9/2020,"March 26, 2020",Actual,3/26/2020,,Interventional,,,Non-contact Endoscopy at Covid-19 Outbreak,Non-contact Endoscopy at Covid-19 Outbreak,Completed,,N/A,5,Actual,Changhai Hospital,,1,,,False,,,,,False,False,,,,,,,,,,,2/1/2021 7:35:01 AM,2/1/2021 7:35:01 AM
NCT04320862,"ClinicalTrials.gov processed this data on January 29, 2021",3/23/2020,,,4/23/2020,3/23/2020,3/25/2020,Actual,,,,,,,4/23/2020,4/27/2020,Actual,"April 3, 2020",Actual,4/3/2020,April 2020,4/30/2020,"December 31, 2021",Anticipated,12/31/2021,"December 31, 2021",Anticipated,12/31/2021,,Observational,,,COVID-19 Pandemic Response Network,Pandemic Response Network: Duke Community Health Watch,Recruiting,,,200000,Anticipated,Duke University,,,1,,False,,,,False,False,False,,,,,,,,,No,,2/1/2021 7:35:02 AM,2/1/2021 7:35:02 AM
NCT04727775,"ClinicalTrials.gov processed this data on January 29, 2021",1/22/2021,,,1/25/2021,1/25/2021,1/27/2021,Actual,,,,,,,1/25/2021,1/27/2021,Actual,"November 25, 2020",Actual,11/25/2020,January 2021,1/31/2021,"March 20, 2021",Anticipated,3/20/2021,"January 25, 2021",Actual,1/25/2021,,Interventional,FavRem,,Antiviral Drugs on the Treatment of SARS-CoV-2,A Retrospective Study of the Effect of Antiviral Drugs on the Treatment of SARS-CoV-2 COVID19,Recruiting,,Phase 1,300,Anticipated,Astana Medical University,,3,,,False,,,,False,False,False,,,,,,,,,No,Retrospective study,2/1/2021 6:38:13 AM,2/1/2021 6:38:13 AM
NCT04716465,"ClinicalTrials.gov processed this data on January 29, 2021",1/18/2021,,,1/19/2021,1/18/2021,1/20/2021,Actual,,,,,,,1/19/2021,1/22/2021,Actual,"January 19, 2021",Actual,1/19/2021,January 2021,1/31/2021,January 2023,Anticipated,1/31/2023,January 2023,Anticipated,1/31/2023,,Observational,DYSCO,,Dysautonomia in Patients Post COVID-19 Infection,Dysautonomia in Patients Post COVID-19 Infection,Recruiting,,,200,Anticipated,Universitair Ziekenhuis Brussel,,,1,,False,,,,,False,False,,,,,,,,,,,2/1/2021 6:39:32 AM,2/1/2021 6:39:32 AM
NCT04727424,"ClinicalTrials.gov processed this data on January 29, 2021",1/25/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"January 19, 2021",Actual,1/19/2021,January 2021,1/31/2021,"March 1, 2022",Anticipated,3/1/2022,"February 1, 2022",Anticipated,2/1/2022,,Interventional,,,Repurposed Approved Therapies for Outpatient Treatment of Patients With Early-Onset COVID-19 and Mild Symptoms,"A Multicenter, Prospective, Adaptive, Double-blind, Randomized, Placebo-controlled Study to Evaluate the Effect of Fluvoxamine, Ivermectin and Metformin in Reducing Hospitalization of Patients With Mild COVID-19 and a High Risk of Complications",Recruiting,,Phase 3,2724,Anticipated,Cardresearch,,4,,,False,,,,True,False,False,,,,,,As of protocol termination,Upon request,,Yes,Patient tables and main data.,2/1/2021 6:38:15 AM,2/1/2021 6:38:15 AM
NCT04727372,"ClinicalTrials.gov processed this data on January 29, 2021",1/22/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"January 23, 2021",Actual,1/23/2021,January 2021,1/31/2021,"February 23, 2021",Anticipated,2/23/2021,"February 23, 2021",Anticipated,2/23/2021,1 Day,Observational [Patient Registry],,,Social Acceptability of COVID-19 Vaccines in Pakistan,Social Acceptability of COVID-19 Vaccines in Pakistan: Fear and Social Trends,Enrolling by invitation,,,1000,Anticipated,Islamia University of Bahawalpur,,,4,,False,,,,False,False,False,,,,,,,,,No,,2/1/2021 6:38:15 AM,2/1/2021 6:38:15 AM
NCT04727294,"ClinicalTrials.gov processed this data on January 29, 2021",1/26/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"January 22, 2021",Anticipated,1/22/2021,January 2021,1/31/2021,December 2021,Anticipated,12/31/2021,June 2021,Anticipated,6/30/2021,,Observational,,,"MGUS, SMM, and MM Patient Experience With Coronavirus 19 (COVID-19) Survey","Monoclonal Gammopathy of Undetermined Significance (MGUS), Smoldering Myeloma (SMM), and Multiple Myeloma Patient Experience With COVID-19 Survey",Recruiting,,,1500,Anticipated,HealthTree Foundation,,,1,,False,,,,False,False,False,,,,,,,Visit the HealthTree Foundation's online patient portal: HealthTree Cure Hub For Multiple Myeloma,http://healthtree.org,Yes,"The HealthTree foundation values responsible and ethical sharing of data from clinical trials. De-identified patient responses to the questionnaire will be aggregated and shared back with the patient. Additionally, portions of the de-identified results will be shared with the research community through publications (abstracts, reports, manuscripts).",2/1/2021 6:38:15 AM,2/1/2021 6:38:15 AM
NCT04726865,"ClinicalTrials.gov processed this data on January 29, 2021",1/25/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"October 1, 2020",Actual,10/1/2020,January 2021,1/31/2021,"December 31, 2020",Actual,12/31/2020,"December 20, 2020",Actual,12/20/2020,,Observational,,,COVID-19 Pandemic and Medical Students,Effects of COVID-19 Pandemic on Medical Students in Jordanian Universities: A Multi-center Cross-sectional Study,Completed,,,415,Actual,University of Jordan,,,,,False,,,,,False,False,,,,,,,,,,,2/1/2021 6:38:19 AM,2/1/2021 6:38:19 AM
NCT04726371,"ClinicalTrials.gov processed this data on January 29, 2021",1/15/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"January 8, 2021",Actual,1/8/2021,January 2021,1/31/2021,October 2022,Anticipated,10/31/2022,October 2022,Anticipated,10/31/2022,,Interventional,,,Best Practices to Prevent COVID-19 Illness in Staff and People With Serious Mental Illness and Developmental Disabilities in Congregate Living Settings,Best Practices to Prevent COVID-19 Illness in Staff and People With Serious Mental Illness and Developmental Disabilities in Congregate Living Settings,Recruiting,,N/A,5350,Anticipated,Massachusetts General Hospital,,2,,,False,,,,True,False,False,,,,,,,,,No,,2/1/2021 6:38:22 AM,2/1/2021 6:38:22 AM
NCT04726150,"ClinicalTrials.gov processed this data on January 29, 2021",1/13/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,April 2021,Anticipated,4/30/2021,January 2021,1/31/2021,April 2026,Anticipated,4/30/2026,April 2023,Anticipated,4/30/2023,3 Years,Observational [Patient Registry],CoViDEx,,Effect of CoVid-19 (CoronaVirusDisease-19) and Exercise on Myocardial Fibrosis and Ventricular Arrhythmias,Effect of CoVid-19 and Exercise on Myocardial Fibrosis and Ventricular Arrhythmias (CovidEx),Not yet recruiting,,,250,Anticipated,"University Hospital, Antwerp",,,3,,False,,,,False,False,False,,,,Samples Without DNA,"~     Blood samples will be taken to determine the levels of hsTn~   ",,,,No,,2/1/2021 6:38:23 AM,2/1/2021 6:38:23 AM
