"ID","URL","PDF","Country","Region","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Patient setting","Outcome","Treatment","Size"
"NCT04784897","https://ClinicalTrials.gov/show/NCT04784897",NA,"United States","Illinois","2021-Mar","2021-Jun","Recruiting","Randomised","Quadruple",3,"Confirmed","Hospital","Treatment-emergent Adverse Events","Antibiotics + Standard of care, Standard of care",120
"NCT04784897","https://ClinicalTrials.gov/show/NCT04784897",NA,"United States","Louisiana","2021-Mar","2021-Jun","Recruiting","Randomised","Quadruple",3,"Confirmed","Hospital","Treatment-emergent Adverse Events","Antibiotics + Standard of care, Standard of care",120
"NCT04784897","https://ClinicalTrials.gov/show/NCT04784897",NA,"United States","Ohio","2021-Mar","2021-Jun","Recruiting","Randomised","Quadruple",3,"Confirmed","Hospital","Treatment-emergent Adverse Events","Antibiotics + Standard of care, Standard of care",120
"NCT04784897","https://ClinicalTrials.gov/show/NCT04784897",NA,"Russia","Moscow","2021-Mar","2021-Jun","Recruiting","Randomised","Quadruple",3,"Confirmed","Hospital","Treatment-emergent Adverse Events","Antibiotics + Standard of care, Standard of care",120
"NCT04784897","https://ClinicalTrials.gov/show/NCT04784897",NA,"Russia","Novgorod","2021-Mar","2021-Jun","Recruiting","Randomised","Quadruple",3,"Confirmed","Hospital","Treatment-emergent Adverse Events","Antibiotics + Standard of care, Standard of care",120
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","California","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","Illinois","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","Massachusetts","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","Oklahoma","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","Oregon","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","Texas","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"United States","Virginia","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"Brazil","Brasilia","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"Brazil","Minas Gerais","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"Brazil","Parana","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"Brazil","Rio Grande Do Sul","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"Brazil","Santa Catarina","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
